animeID,name,title_english,type,source,producers,genre,studio,episodes,status,airing,start_date,end_date,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast
1,Cowboy Bebop,Cowboy Bebop,TV,Original,Bandai Visual,Action,Sunrise,26.0,Finished Airing,False,1998-04-03,1999-04-02,24 min per ep,R - 17+ (violence & profanity),8.81,405664,26,39,795733,43460,Spring 1998,Saturdays at 01:00 (JST)
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,Movie,Original,Sunrise,Action,Bones,1.0,Finished Airing,False,2001-09-01,,1 hr 55 min,R - 17+ (violence & profanity),8.41,120243,164,449,197791,776,,
6,Trigun,Trigun,TV,Manga,Victor Entertainment,Action,Madhouse,26.0,Finished Airing,False,1998-04-01,1998-09-03,24 min per ep,PG-13 - Teens 13 or older,8.3,212537,255,146,408548,10432,Spring 1998,Thursdays at 01:15 (JST)
7,Witch Hunter Robin,Witch Hunter Robin,TV,Original,Bandai Visual,Action,Sunrise,26.0,Finished Airing,False,2002-07-02,2002-12-02,25 min per ep,PG-13 - Teens 13 or older,7.33,32837,2371,1171,79397,537,Summer 2002,Tuesdays at Unknown
8,Bouken Ou Beet,Beet the Vandel Buster,TV,Manga,TV Tokyo,Adventure,Toei Animation,52.0,Finished Airing,False,2004-09-30,2005-09-02,23 min per ep,PG - Children,7.03,4894,3544,3704,11708,14,Fall 2004,Thursdays at 18:30 (JST)
16,Hachimitsu to Clover,Honey and Clover,TV,Manga,Genco,Comedy,J.C.Staff,24.0,Finished Airing,False,2005-04-15,2005-09-02,23 min per ep,PG-13 - Teens 13 or older,8.12,57065,419,536,172274,3752,Spring 2005,Fridays at 00:35 (JST)
17,Hungry Heart: Wild Striker,,TV,Manga,,Slice of Life,Nippon Animation,52.0,Finished Airing,False,2002-09-11,2003-09-01,23 min per ep,PG-13 - Teens 13 or older,7.67,9307,1186,3124,17145,210,Fall 2002,Wednesdays at Unknown
18,Initial D Fourth Stage,,TV,Manga,OB Planning,Action,A.C.G.T.,24.0,Finished Airing,False,2004-04-17,2006-02-01,27 min per ep,PG-13 - Teens 13 or older,8.23,42555,298,1262,73438,635,Spring 2004,Unknown
19,Monster,Monster,TV,Manga,VAP,Drama,Madhouse,74.0,Finished Airing,False,2004-04-07,2005-09-02,24 min per ep,R+ - Mild Nudity,8.69,131233,49,156,394387,19188,Spring 2004,Wednesdays at 00:40 (JST)
20,Naruto,Naruto,TV,Manga,TV Tokyo,Action,Studio Pierrot,220.0,Finished Airing,False,2002-10-03,,23 min per ep,PG-13 - Teens 13 or older,7.9,716412,705,10,1091313,39356,Fall 2002,Thursdays at 19:30 (JST)
